Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
71,,2018-03-19,29-171,GSW,@,SAS,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,,2018-03-23,29-175,GSW,,ATL,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,,2018-03-25,29-177,GSW,,UTA,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
74,,2018-03-27,29-179,GSW,,IND,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
75,61,2018-03-29,29-181,GSW,,MIL,L (-9),1,17:07,4,10,.400,1,3,.333,1,1,1.000,0,3,3,6,0,0,4,0,10,5.7,-15
76,62,2018-03-31,29-183,GSW,@,SAC,W (+16),1,30:31,8,16,.500,2,5,.400,9,11,.818,1,9,10,5,0,1,1,1,27,24.4,+20
77,63,2018-04-01,29-184,GSW,,PHO,W (+10),1,34:47,12,19,.632,3,6,.500,2,2,1.000,0,11,11,8,0,2,1,1,29,29.4,+29
78,64,2018-04-03,29-186,GSW,@,OKC,W (+4),1,35:30,9,25,.360,2,9,.222,14,14,1.000,0,10,10,4,1,1,3,2,34,23.8,-4
79,65,2018-04-05,29-188,GSW,@,IND,L (-20),1,32:57,8,23,.348,2,10,.200,9,9,1.000,0,5,5,7,3,1,4,3,27,19.0,-17
80,66,2018-04-07,29-190,GSW,,NOP,L (-6),1,35:45,16,26,.615,4,8,.500,5,7,.714,0,10,10,5,0,0,4,2,41,30.1,+1
81,67,2018-04-08,29-191,GSW,@,PHO,W (+17),1,30:34,6,11,.545,2,4,.500,3,4,.750,0,4,4,9,1,0,2,1,17,17.4,+15
82,68,2018-04-10,29-193,GSW,@,UTA,L (-40),1,29:21,5,12,.417,0,3,.000,3,3,1.000,0,4,4,1,0,0,2,2,13,5.7,-35
